term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,dfidf,mean_tfidf
remembrall,9,8.048167387573808e-06,16.92290825837664,10,NNP,2,"{'NN', 'NNP'}",0,remembral,remembral,remembral,5.465195465070133,0.00037906631708758823
onlookers,9,8.048167387573808e-06,16.92290825837664,9,NNS,1,{'NNS'},0,onlook,onlook,onlook,11.166104715342104,0.00020295911184460254
self-,9,8.048167387573808e-06,16.92290825837664,5,JJ,3,"{'JJ', 'NN', 'NNP'}",0,self-,self-,self-,11.166104715342104,0.00023093002904832658
beauty,9,8.048167387573808e-06,16.92290825837664,6,NN,1,{'NN'},0,beauti,beauti,beauty,12.101495102733436,0.00023751796321788232
absurd,9,8.048167387573808e-06,16.92290825837664,6,JJ,1,{'JJ'},0,absurd,absurd,absurd,12.101495102733436,0.00028309684921843916
doubts,9,8.048167387573808e-06,16.92290825837664,6,NNS,1,{'NNS'},0,doubt,doubt,doubt,10.17628525476815,0.0002492800074245481
],9,8.048167387573808e-06,16.92290825837664,1,NNP,3,"{'JJ', 'NN', 'NNP'}",0,],],],10.17628525476815,0.0001748620532910096
referring,9,8.048167387573808e-06,16.92290825837664,9,VBG,1,{'VBG'},0,refer,refer,refer,12.101495102733436,0.00022706364084212956
dishes,9,8.048167387573808e-06,16.92290825837664,6,NNS,1,{'NNS'},0,dish,dish,dish,11.166104715342104,0.00027567284211980783
scandalized,9,8.048167387573808e-06,16.92290825837664,11,VBN,2,"{'JJ', 'VBN'}",0,scandal,scandal,scand,12.101495102733436,0.00021776880481607998
wisely,9,8.048167387573808e-06,16.92290825837664,6,RB,1,{'RB'},0,wise,wise,wis,11.166104715342104,0.00024267275035195514
gasps,9,8.048167387573808e-06,16.92290825837664,5,NN,2,"{'NN', 'NNS'}",0,gasp,gasp,gasp,12.101495102733436,0.00028820890232965585
alike,9,8.048167387573808e-06,16.92290825837664,5,RB,1,{'RB'},0,alik,alik,alik,12.101495102733436,0.00021028217492795223
entrances,9,8.048167387573808e-06,16.92290825837664,9,NNS,1,{'NNS'},0,entranc,entranc,ent,11.166104715342104,0.0002108044902147034
vomit,9,8.048167387573808e-06,16.92290825837664,5,NN,2,"{'VB', 'NN'}",0,vomit,vomit,vomit,10.17628525476815,0.00023107242639468462
sale,9,8.048167387573808e-06,16.92290825837664,4,NN,2,"{'NN', 'NNP'}",0,sale,sale,sal,10.17628525476815,0.00023639718491677426
blunder,9,8.048167387573808e-06,16.92290825837664,7,NN,1,{'NN'},0,blunder,blunder,blund,9.124210956156379,0.00028664342169735537
fruit,9,8.048167387573808e-06,16.92290825837664,5,NN,2,"{'NN', 'NNP'}",0,fruit,fruit,fruit,10.17628525476815,0.00029366768439873246
exercise,9,8.048167387573808e-06,16.92290825837664,8,VB,2,"{'VB', 'NN'}",0,exercis,exercis,exerc,12.101495102733436,0.00024947001018121043
megaphone,9,8.048167387573808e-06,16.92290825837664,9,NN,1,{'NN'},0,megaphon,megaphon,megaphon,6.787172340326977,0.000329228129850857
bewitching,9,8.048167387573808e-06,16.92290825837664,10,VBG,1,{'VBG'},0,bewitch,bewitch,bewitch,12.101495102733436,0.00023466662420337634
intervals,9,8.048167387573808e-06,16.92290825837664,9,NNS,1,{'NNS'},0,interv,interv,interv,11.166104715342104,0.00021661483469446704
rotten,9,8.048167387573808e-06,16.92290825837664,6,JJ,6,"{'NN', 'VB', 'JJ', 'NNS', 'VBN', 'NNP'}",0,rotten,rotten,rot,11.166104715342104,0.0002551582463338975
disarmed,9,8.048167387573808e-06,16.92290825837664,8,VBD,5,"{'NN', 'JJ', 'VBN', 'NNP', 'VBD'}",0,disarm,disarm,disarm,11.166104715342104,0.00020212635783887456
chink,9,8.048167387573808e-06,16.92290825837664,5,NN,1,{'NN'},0,chink,chink,chink,11.166104715342104,0.00022566355744824023
acid,9,8.048167387573808e-06,16.92290825837664,4,NNP,4,"{'JJ', 'NN', 'VBN', 'NNP'}",0,acid,acid,acid,10.17628525476815,0.00027394495425919817
entitled,9,8.048167387573808e-06,16.92290825837664,8,VBN,2,"{'VBN', 'VBD'}",0,entitl,entitl,entitl,11.166104715342104,0.00022831461655142745
startling,9,8.048167387573808e-06,16.92290825837664,9,VBG,2,"{'JJ', 'VBG'}",0,startl,startl,startl,12.101495102733436,0.00027350836224885943
warming,9,8.048167387573808e-06,16.92290825837664,7,VBG,1,{'VBG'},0,warm,warm,warm,12.101495102733436,0.00020447412093669602
paw,9,8.048167387573808e-06,16.92290825837664,3,NN,2,"{'VB', 'NN'}",0,paw,paw,paw,12.101495102733436,0.0002908480144075176
lent,9,8.048167387573808e-06,16.92290825837664,4,VBD,4,"{'JJ', 'NN', 'VBN', 'VBD'}",0,lent,lent,lent,11.166104715342104,0.0002602938872280719
drills,9,8.048167387573808e-06,16.92290825837664,6,NNS,1,{'NNS'},0,drill,drill,dril,5.465195465070133,0.0004654399821071139
warnings,9,8.048167387573808e-06,16.92290825837664,8,NNS,2,"{'JJ', 'NNS'}",0,warn,warn,warn,10.17628525476815,0.00022251253757210382
sympathetically,9,8.048167387573808e-06,16.92290825837664,15,RB,1,{'RB'},0,sympathet,sympathet,sympathet,12.101495102733436,0.00023351770149150644
beckoning,9,8.048167387573808e-06,16.92290825837664,9,VBG,1,{'VBG'},0,beckon,beckon,beckon,12.101495102733436,0.0002091204287230377
dignity,9,8.048167387573808e-06,16.92290825837664,7,NN,1,{'NN'},0,digniti,digniti,dign,12.101495102733436,0.00023164234516799835
smoky,9,8.048167387573808e-06,16.92290825837664,5,JJ,2,"{'JJ', 'NN'}",0,smoki,smoki,smoky,9.124210956156379,0.000322331532914103
pursued,9,8.048167387573808e-06,16.92290825837664,7,VBD,2,"{'VBN', 'VBD'}",0,pursu,pursu,pursu,12.101495102733436,0.0002304538595401815
chortled,9,8.048167387573808e-06,16.92290825837664,8,VBD,1,{'VBD'},0,chortl,chortl,chortl,12.101495102733436,0.00022762782386096263
debris,9,8.048167387573808e-06,16.92290825837664,6,NN,1,{'NN'},0,debri,debri,debr,10.17628525476815,0.0002473134461706515
drift,9,8.048167387573808e-06,16.92290825837664,5,NN,2,"{'VB', 'NN'}",0,drift,drift,drift,12.101495102733436,0.0002587382749316249
treatment,9,8.048167387573808e-06,16.92290825837664,9,NN,2,"{'NN', 'NNP'}",0,treatment,treatment,tre,11.166104715342104,0.0002346041424059262
fairy,9,8.048167387573808e-06,16.92290825837664,5,JJ,3,"{'JJ', 'NN', 'NNP'}",0,fairi,fairi,fairy,10.17628525476815,0.0002132587532815848
delicately,9,8.048167387573808e-06,16.92290825837664,10,RB,1,{'RB'},0,delic,delic,del,12.101495102733436,0.00022315045128443205
deduced,9,8.048167387573808e-06,16.92290825837664,7,VBD,2,"{'VBN', 'VBD'}",0,deduc,deduc,deduc,11.166104715342104,0.00023495032483149465
current,9,8.048167387573808e-06,16.92290825837664,7,JJ,1,{'JJ'},0,current,current,cur,12.101495102733436,0.00023759457893318252
unlucky,9,8.048167387573808e-06,16.92290825837664,7,JJ,2,"{'JJ', 'NNP'}",0,unlucki,unlucki,unlucky,11.166104715342104,0.0002491300544868539
brush,9,8.048167387573808e-06,16.92290825837664,5,NN,3,"{'VB', 'NN', 'VBD'}",0,brush,brush,brush,11.166104715342104,0.00021404739537574577
unworthy,9,8.048167387573808e-06,16.92290825837664,8,JJ,2,"{'JJ', 'NN'}",0,unworthi,unworthi,unworthy,12.101495102733436,0.00023358117079149795
blushed,9,8.048167387573808e-06,16.92290825837664,7,VBD,2,"{'VBN', 'VBD'}",0,blush,blush,blush,12.101495102733436,0.0002411801886696482
envelopes,9,8.048167387573808e-06,16.92290825837664,9,NNS,1,{'NNS'},0,envelop,envelop,envelop,9.124210956156379,0.0002579403538203443
dwelling,9,8.048167387573808e-06,16.92290825837664,8,VBG,3,"{'JJ', 'NN', 'VBG'}",0,dwell,dwell,dwel,12.101495102733436,0.00020719428404753238
justice,9,8.048167387573808e-06,16.92290825837664,7,NN,2,"{'VB', 'NN'}",0,justic,justic,just,12.101495102733436,0.00023123686140569147
nutter,9,8.048167387573808e-06,16.92290825837664,6,NN,2,"{'NN', 'NNP'}",0,nutter,nutter,nut,11.166104715342104,0.0002351651869805071
displeasure,9,8.048167387573808e-06,16.92290825837664,11,NN,1,{'NN'},0,displeasur,displeasur,displeas,12.101495102733436,0.0002084935309375595
crawl,9,8.048167387573808e-06,16.92290825837664,5,VB,3,"{'VB', 'JJ', 'NN'}",0,crawl,crawl,crawl,11.166104715342104,0.00021853767588709216
root,9,8.048167387573808e-06,16.92290825837664,4,NN,2,"{'VB', 'NN'}",0,root,root,root,11.166104715342104,0.0002867139613098214
nothingness,9,8.048167387573808e-06,16.92290825837664,11,NN,2,"{'JJ', 'NN'}",0,nothing,nothing,noth,12.101495102733436,0.0002249654571047374
index,9,8.048167387573808e-06,16.92290825837664,5,NN,1,{'NN'},0,index,index,index,12.101495102733436,0.0002136668944297652
nicely,9,8.048167387573808e-06,16.92290825837664,6,RB,1,{'RB'},0,nice,nice,nic,12.101495102733436,0.00022871842401089528
views,9,8.048167387573808e-06,16.92290825837664,5,NNS,1,{'NNS'},0,view,view,view,10.17628525476815,0.0002966890575284049
unkempt,9,8.048167387573808e-06,16.92290825837664,7,JJ,1,{'JJ'},0,unkempt,unkempt,unkempt,10.17628525476815,0.00023795049153546094
singed,9,8.048167387573808e-06,16.92290825837664,6,VBN,3,"{'JJ', 'VBN', 'VBD'}",0,sing,sing,sing,11.166104715342104,0.00022454908563282865
oozing,9,8.048167387573808e-06,16.92290825837664,6,VBG,1,{'VBG'},0,ooz,ooz,ooz,12.101495102733436,0.0002547088762248741
faltered,9,8.048167387573808e-06,16.92290825837664,8,VBD,2,"{'VBN', 'VBD'}",0,falter,falter,falt,12.101495102733436,0.00024302312474122148
traffic,9,8.048167387573808e-06,16.92290825837664,7,NN,1,{'NN'},0,traffic,traffic,traff,11.166104715342104,0.00026252078344561245
disbelieving,9,8.048167387573808e-06,16.92290825837664,12,VBG,2,"{'NN', 'VBG'}",0,disbeliev,disbeliev,disbeliev,12.101495102733436,0.00020519823999649828
hoisting,9,8.048167387573808e-06,16.92290825837664,8,VBG,1,{'VBG'},0,hoist,hoist,hoist,11.166104715342104,0.00021525968642811897
sleet,9,8.048167387573808e-06,16.92290825837664,5,NN,1,{'NN'},0,sleet,sleet,sleet,5.465195465070133,0.0003346699317421215
weighed,9,8.048167387573808e-06,16.92290825837664,7,VBD,2,"{'VBN', 'VBD'}",0,weigh,weigh,weigh,11.166104715342104,0.00022107476813775257
emerald-green,9,8.048167387573808e-06,16.92290825837664,13,JJ,1,{'JJ'},0,emerald-green,emerald-green,emerald-green,12.101495102733436,0.00024904567770264285
failing,9,8.048167387573808e-06,16.92290825837664,7,VBG,2,"{'NN', 'VBG'}",0,fail,fail,fail,12.101495102733436,0.00026629493925802285
approve,9,8.048167387573808e-06,16.92290825837664,7,NN,3,"{'VB', 'VBP', 'NN'}",0,approv,approv,approv,12.101495102733436,0.00026265145725063436
9,9,8.048167387573808e-06,16.92290825837664,1,CD,1,{'CD'},0,9,9,9,11.166104715342104,0.0002698849407607602
splash,9,8.048167387573808e-06,16.92290825837664,6,NN,2,"{'VB', 'NN'}",0,splash,splash,splash,11.166104715342104,0.0002577585076285265
solitary,9,8.048167387573808e-06,16.92290825837664,8,JJ,1,{'JJ'},0,solitari,solitari,solit,11.166104715342104,0.00020921544983912253
character,9,8.048167387573808e-06,16.92290825837664,9,NN,1,{'NN'},0,charact,charact,charact,10.17628525476815,0.00023703356712550584
unnerved,9,8.048167387573808e-06,16.92290825837664,8,JJ,3,"{'JJ', 'VBN', 'VBD'}",0,unnerv,unnerv,unnerv,11.166104715342104,0.00024758636636235413
expanded,9,8.048167387573808e-06,16.92290825837664,8,VBN,2,"{'VBN', 'VBD'}",0,expand,expand,expand,12.101495102733436,0.00022760852980008474
toffees,9,8.048167387573808e-06,16.92290825837664,7,NNS,1,{'NNS'},0,toffe,toffe,toff,7.999415360368439,0.0005011673307481262
innocently,9,8.048167387573808e-06,16.92290825837664,10,RB,1,{'RB'},0,innoc,innoc,innoc,12.101495102733436,0.00022640705762502387
revulsion,9,8.048167387573808e-06,16.92290825837664,9,NN,2,"{'NN', 'NNP'}",0,revuls,revuls,revuls,12.101495102733436,0.00028794332604181917
impulse,9,8.048167387573808e-06,16.92290825837664,7,NN,2,"{'JJ', 'NN'}",0,impuls,impuls,impuls,12.101495102733436,0.00021256252239166136
withered,9,8.048167387573808e-06,16.92290825837664,8,JJ,1,{'JJ'},0,wither,wither,with,10.17628525476815,0.00023848620233470177
bloodstained,9,8.048167387573808e-06,16.92290825837664,12,VBN,3,"{'JJ', 'VBN', 'VBD'}",0,bloodstain,bloodstain,bloodstain,12.101495102733436,0.0002126885874419742
quantity,9,8.048167387573808e-06,16.92290825837664,8,NN,1,{'NN'},0,quantiti,quantiti,quant,12.101495102733436,0.00019665972623522784
downright,9,8.048167387573808e-06,16.92290825837664,9,RB,5,"{'RB', 'NN', 'JJ', 'VBN', 'VBD'}",0,downright,downright,downright,12.101495102733436,0.0002441576670620985
hallow,9,8.048167387573808e-06,16.92290825837664,6,NNP,1,{'NNP'},0,hallow,hallow,hallow,5.465195465070133,0.00029911038570953896
sorcery,9,8.048167387573808e-06,16.92290825837664,7,NNP,2,"{'NN', 'NNP'}",0,sorceri,sorceri,sorcery,9.124210956156379,0.000293379396305061
spiked,9,8.048167387573808e-06,16.92290825837664,6,VBD,3,"{'JJ', 'VBN', 'VBD'}",0,spike,spike,spik,11.166104715342104,0.0002199176473854037
fame,9,8.048167387573808e-06,16.92290825837664,4,NN,3,"{'JJ', 'NN', 'NNP'}",0,fame,fame,fam,11.166104715342104,0.0002738537616172971
high-,9,8.048167387573808e-06,16.92290825837664,5,JJ,1,{'JJ'},0,high-,high-,high-,10.17628525476815,0.0002915811804471577
lengths,9,8.048167387573808e-06,16.92290825837664,7,NNS,1,{'NNS'},0,length,length,length,11.166104715342104,0.0002493460920831081
secondhand,9,8.048167387573808e-06,16.92290825837664,10,NN,3,"{'VB', 'NN', 'VBP'}",0,secondhand,secondhand,secondhand,11.166104715342104,0.0002833841133501676
cow,9,8.048167387573808e-06,16.92290825837664,3,NN,1,{'NN'},0,cow,cow,cow,7.999415360368439,0.0002564088409207405
admiring,9,8.048167387573808e-06,16.92290825837664,8,VBG,1,{'VBG'},0,admir,admir,admir,12.101495102733436,0.00025151120921978776
poisons,9,8.048167387573808e-06,16.92290825837664,7,NNS,2,"{'NNS', 'NNP'}",0,poison,poison,poison,12.101495102733436,0.00025971854059058183
filibuster,9,8.048167387573808e-06,16.92290825837664,10,NNP,1,{'NNP'},0,filibust,filibust,filibust,11.166104715342104,0.00026692212455581136
reassured,9,8.048167387573808e-06,16.92290825837664,9,VBN,2,"{'VBN', 'VBD'}",0,reassur,reassur,reass,11.166104715342104,0.0002467960911988478
closet,9,8.048167387573808e-06,16.92290825837664,6,NN,1,{'NN'},0,closet,closet,closet,5.465195465070133,0.00035907970380880854
wheels,9,8.048167387573808e-06,16.92290825837664,6,NNS,1,{'NNS'},0,wheel,wheel,wheel,10.17628525476815,0.00022983217985047662
murderous,9,8.048167387573808e-06,16.92290825837664,9,JJ,1,{'JJ'},0,murder,murder,murd,12.101495102733436,0.0002393974747053585
pulsing,9,8.048167387573808e-06,16.92290825837664,7,VBG,2,"{'NN', 'VBG'}",0,puls,puls,puls,12.101495102733436,0.00022082475377804944
elbows,9,8.048167387573808e-06,16.92290825837664,6,NNS,2,"{'VBZ', 'NNS'}",0,elbow,elbow,elbow,12.101495102733436,0.00023755863602168003
twenty-,9,8.048167387573808e-06,16.92290825837664,7,JJ,2,"{'JJ', 'NNP'}",0,twenty-,twenty-,twenty-,12.101495102733436,0.00023057159024391367
copying,9,8.048167387573808e-06,16.92290825837664,7,VBG,2,"{'NN', 'VBG'}",0,copi,copi,cop,12.101495102733436,0.00026626371784844435
treetops,9,8.048167387573808e-06,16.92290825837664,8,NNS,1,{'NNS'},0,treetop,treetop,treetop,11.166104715342104,0.00022680734096487302
park,9,8.048167387573808e-06,16.92290825837664,4,NN,1,{'NN'},0,park,park,park,3.995646161491451,0.00031844750753358024
streets,9,8.048167387573808e-06,16.92290825837664,7,NNS,1,{'NNS'},0,street,street,streets,9.124210956156379,0.00027978350004720723
column,9,8.048167387573808e-06,16.92290825837664,6,NN,1,{'NN'},0,column,column,column,11.166104715342104,0.00024414258915116344
glossy,9,8.048167387573808e-06,16.92290825837664,6,JJ,1,{'JJ'},0,glossi,glossi,glossy,12.101495102733436,0.00022773385664697196
granted,9,8.048167387573808e-06,16.92290825837664,7,VBN,2,"{'VBN', 'VBD'}",0,grant,grant,grant,12.101495102733436,0.000204752470440802
crushing,9,8.048167387573808e-06,16.92290825837664,8,VBG,2,"{'NN', 'VBG'}",0,crush,crush,crush,12.101495102733436,0.00023113350804500535
guest,9,8.048167387573808e-06,16.92290825837664,5,NN,2,"{'JJS', 'NN'}",0,guest,guest,guest,12.101495102733436,0.0002720709604520745
tattered,9,8.048167387573808e-06,16.92290825837664,8,JJ,2,"{'JJ', 'VBD'}",0,tatter,tatter,tat,10.17628525476815,0.00022396247377591883
periods,9,8.048167387573808e-06,16.92290825837664,7,NNS,1,{'NNS'},0,period,period,period,11.166104715342104,0.00021748483351116674
withdrawing,9,8.048167387573808e-06,16.92290825837664,11,VBG,1,{'VBG'},0,withdraw,withdraw,withdraw,11.166104715342104,0.00019411763892382744
competition,9,8.048167387573808e-06,16.92290825837664,11,NN,2,"{'NN', 'NNP'}",0,competit,competit,competit,10.17628525476815,0.00023075490508926198
lenses,9,8.048167387573808e-06,16.92290825837664,6,NNS,1,{'NNS'},0,lens,lens,lens,7.999415360368439,0.00025869180928224996
burnt,9,8.048167387573808e-06,16.92290825837664,5,JJ,6,"{'NN', 'VB', 'JJ', 'VBZ', 'VBN', 'VBP'}",0,burnt,burnt,burnt,11.166104715342104,0.0002840755830510627
mangled,9,8.048167387573808e-06,16.92290825837664,7,JJ,2,"{'JJ', 'VBD'}",0,mangl,mangl,mangl,12.101495102733436,0.00023089200592413817
restless,9,8.048167387573808e-06,16.92290825837664,8,NN,3,"{'JJ', 'NN', 'NNP'}",0,restless,restless,restless,11.166104715342104,0.00024399979104358207
resign,9,8.048167387573808e-06,16.92290825837664,6,VB,4,"{'VB', 'VBP', 'NN', 'NNP'}",0,resign,resign,resign,10.17628525476815,0.00021827802047943138
smacking,9,8.048167387573808e-06,16.92290825837664,8,VBG,1,{'VBG'},0,smack,smack,smack,12.101495102733436,0.00024572942378254544
chipped,9,8.048167387573808e-06,16.92290825837664,7,JJ,3,"{'JJ', 'VBN', 'VBD'}",0,chip,chip,chip,11.166104715342104,0.0002571990034970971
mullet,9,8.048167387573808e-06,16.92290825837664,6,NNP,2,"{'NN', 'NNP'}",0,mullet,mullet,mullet,3.995646161491451,0.00027942217954607797
overnight,9,8.048167387573808e-06,16.92290825837664,9,JJ,4,"{'JJ', 'RB', 'NN', 'VBD'}",0,overnight,overnight,overnight,11.166104715342104,0.00021565705410495355
lazy,9,8.048167387573808e-06,16.92290825837664,4,JJ,2,"{'JJ', 'NN'}",0,lazi,lazi,lazy,12.101495102733436,0.0002393669611505355
pupil,9,8.048167387573808e-06,16.92290825837664,5,NN,1,{'NN'},0,pupil,pupil,pupil,10.17628525476815,0.0002502291559283541
sniffing,9,8.048167387573808e-06,16.92290825837664,8,VBG,1,{'VBG'},0,snif,snif,sniff,12.101495102733436,0.00022673326516536619
november,9,8.048167387573808e-06,16.92290825837664,8,NNP,1,{'NNP'},0,novemb,novemb,novemb,11.166104715342104,0.0002288676460476425
phrase,9,8.048167387573808e-06,16.92290825837664,6,NN,2,"{'VB', 'NN'}",0,phrase,phrase,phrase,12.101495102733436,0.0002723052377702012
danced,9,8.048167387573808e-06,16.92290825837664,6,VBD,2,"{'VBN', 'VBD'}",0,danc,danc,dant,11.166104715342104,0.00021545687259875458
whirring,9,8.048167387573808e-06,16.92290825837664,8,VBG,2,"{'NN', 'VBG'}",0,whir,whir,whir,12.101495102733436,0.00020985195408329156
printing,9,8.048167387573808e-06,16.92290825837664,8,NN,2,"{'NN', 'VBG'}",0,print,print,print,5.465195465070133,0.0002990141428622037
alarmingly,9,8.048167387573808e-06,16.92290825837664,10,RB,1,{'RB'},0,alarmingli,alarm,alarm,12.101495102733436,0.00022308872008993118
arrange,9,8.048167387573808e-06,16.92290825837664,7,VB,3,"{'VB', 'NN', 'VBP'}",0,arrang,arrang,arrang,11.166104715342104,0.0002501051618268736
cheating,9,8.048167387573808e-06,16.92290825837664,8,VBG,3,"{'NN', 'VBG', 'NNP'}",0,cheat,cheat,che,9.124210956156379,0.0002402458109860651
slack,9,8.048167387573808e-06,16.92290825837664,5,JJ,3,"{'JJ', 'NN', 'RB'}",0,slack,slack,slack,11.166104715342104,0.00019884127414600077
vase,9,8.048167387573808e-06,16.92290825837664,4,NN,1,{'NN'},0,vase,vase,vas,12.101495102733436,0.0002072146482465469
house-,9,8.048167387573808e-06,16.92290825837664,6,JJ,2,"{'JJ', 'NNP'}",0,house-,house-,house-,10.17628525476815,0.00022495313992276731
breed,9,8.048167387573808e-06,16.92290825837664,5,NN,4,"{'VB', 'VBD', 'NN', 'VBP'}",0,breed,breed,bree,12.101495102733436,0.0002197891963539046
qualities,9,8.048167387573808e-06,16.92290825837664,9,NNS,1,{'NNS'},0,qualiti,qualiti,qual,12.101495102733436,0.00024821691738253907
reassuring,9,8.048167387573808e-06,16.92290825837664,10,VBG,3,"{'JJ', 'NN', 'VBG'}",0,reassur,reassur,reass,10.17628525476815,0.00023986547752684909
ushered,9,8.048167387573808e-06,16.92290825837664,7,VBD,2,"{'JJ', 'VBD'}",0,usher,usher,ush,12.101495102733436,0.0002525180197730855
demanding,9,8.048167387573808e-06,16.92290825837664,9,VBG,3,"{'JJ', 'NN', 'VBG'}",0,demand,demand,demand,12.101495102733436,0.00022728240896136484
crisp,9,8.048167387573808e-06,16.92290825837664,5,NN,2,"{'JJ', 'NN'}",0,crisp,crisp,crisp,11.166104715342104,0.0003033307139377711
classmates,9,8.048167387573808e-06,16.92290825837664,10,NNS,1,{'NNS'},0,classmat,classmat,classm,12.101495102733436,0.0002277933537797908
tallest,9,8.048167387573808e-06,16.92290825837664,7,JJS,2,"{'JJS', 'NN'}",0,tallest,tallest,tallest,11.166104715342104,0.00025800271304373865
obediently,9,8.048167387573808e-06,16.92290825837664,10,RB,1,{'RB'},0,obedi,obedi,obedy,12.101495102733436,0.00021996364440870367
plastered,9,8.048167387573808e-06,16.92290825837664,9,VBD,2,"{'VBN', 'VBD'}",0,plaster,plaster,plast,12.101495102733436,0.0002028459640789235
prickled,9,8.048167387573808e-06,16.92290825837664,8,VBD,2,"{'VBN', 'VBD'}",0,prickl,prickl,prickl,9.124210956156379,0.00021067666550566485
puffed,9,8.048167387573808e-06,16.92290825837664,6,VBD,3,"{'NNS', 'NN', 'VBD'}",0,puf,puf,puff,12.101495102733436,0.00023331103868245426
bows,9,8.048167387573808e-06,16.92290825837664,4,NNS,2,"{'VBZ', 'NNS'}",0,bow,bow,bow,10.17628525476815,0.00025393552872673346
sinistra,9,8.048167387573808e-06,16.92290825837664,8,NNP,1,{'NNP'},0,sinistra,sinistra,sinistr,9.124210956156379,0.00020569571312813417
las,9,8.048167387573808e-06,16.92290825837664,3,NN,4,"{'VBP', 'JJ', 'NN', 'NNP'}",0,la,las,las,10.17628525476815,0.00034112772612159513
skirting,9,8.048167387573808e-06,16.92290825837664,8,VBG,1,{'VBG'},0,skirt,skirt,skirt,12.101495102733436,0.0002148694714322112
crashes,9,8.048167387573808e-06,16.92290825837664,7,NNS,1,{'NNS'},0,crash,crash,crash,10.17628525476815,0.00021735042310660013
writes,9,8.048167387573808e-06,16.92290825837664,6,VBZ,2,"{'VBZ', 'NNS'}",0,write,write,writ,12.101495102733436,0.00023228013513765253
eighteen,9,8.048167387573808e-06,16.92290825837664,8,JJ,2,"{'VB', 'JJ'}",0,eighteen,eighteen,eighteen,11.166104715342104,0.00026897865535240354
crates,9,8.048167387573808e-06,16.92290825837664,6,NNS,2,"{'VBZ', 'NNS'}",0,crate,crate,crat,7.999415360368439,0.00026583078098649585
lurked,9,8.048167387573808e-06,16.92290825837664,6,VBD,1,{'VBD'},0,lurk,lurk,lurk,12.101495102733436,0.00022230256406011756
odds,9,8.048167387573808e-06,16.92290825837664,4,NNS,2,"{'NNS', 'VBN'}",0,odd,odd,od,11.166104715342104,0.0002489378411688885
fragile,9,8.048167387573808e-06,16.92290825837664,7,JJ,2,"{'JJ', 'NN'}",0,fragil,fragil,fragil,11.166104715342104,0.00022852289114333595
venomous,9,8.048167387573808e-06,16.92290825837664,8,JJ,2,"{'JJ', 'NNP'}",0,venom,venom,venom,12.101495102733436,0.00026780556884868547
rumbled,9,8.048167387573808e-06,16.92290825837664,7,VBD,2,"{'VBN', 'VBD'}",0,rumbl,rumbl,rumbl,12.101495102733436,0.00024199450163751268
vacant,9,8.048167387573808e-06,16.92290825837664,6,JJ,2,"{'JJ', 'NN'}",0,vacant,vacant,vac,12.101495102733436,0.00019822366476709643
diet,9,8.048167387573808e-06,16.92290825837664,4,NN,2,"{'JJ', 'NN'}",0,diet,diet,diet,9.124210956156379,0.0003915071816840974
parting,9,8.048167387573808e-06,16.92290825837664,7,VBG,2,"{'NN', 'VBG'}",0,part,part,part,12.101495102733436,0.00023961404640209934
bulgarians,9,8.048167387573808e-06,16.92290825837664,10,NNPS,3,"{'NNPS', 'NNP', 'NNS'}",0,bulgarian,bulgarian,bulg,5.465195465070133,0.0003002343443482701
counterclockwise,9,8.048167387573808e-06,16.92290825837664,16,NN,2,"{'RB', 'NN'}",0,counterclockwis,counterclockwis,counterclockw,5.465195465070133,0.0002933835688317421
pygmy,9,8.048167387573808e-06,16.92290825837664,5,NNP,1,{'NNP'},0,pygmi,pygmi,pygmy,7.999415360368439,0.0002893389360561292
prod,9,8.048167387573808e-06,16.92290825837664,4,NN,3,"{'VB', 'NN', 'NNP'}",0,prod,prod,prod,12.101495102733436,0.0002815488837634043
react,9,8.048167387573808e-06,16.92290825837664,5,VB,2,"{'VB', 'NN'}",0,react,react,react,11.166104715342104,0.0001868235314698645
hears,9,8.048167387573808e-06,16.92290825837664,5,VBZ,2,"{'VBZ', 'NNS'}",0,hear,hear,hear,12.101495102733436,0.00021766691363241488
fishy,9,8.048167387573808e-06,16.92290825837664,5,JJ,3,"{'JJ', 'NN', 'NNP'}",0,fishi,fishi,fishy,12.101495102733436,0.0002088775035067498
winds,9,8.048167387573808e-06,16.92290825837664,5,NNS,1,{'NNS'},0,wind,wind,wind,11.166104715342104,0.00022159080253155472
lend,9,8.048167387573808e-06,16.92290825837664,4,VB,3,"{'VB', 'VBP', 'NN'}",0,lend,lend,lend,11.166104715342104,0.00025209944861553853
scare,9,8.048167387573808e-06,16.92290825837664,5,VB,4,"{'VB', 'VBZ', 'NNP', 'VBD'}",0,scare,scare,scar,11.166104715342104,0.00022826600806516607
descent,9,8.048167387573808e-06,16.92290825837664,7,NN,1,{'NN'},0,descent,descent,desc,11.166104715342104,0.0001916281264547741
imploringly,9,8.048167387573808e-06,16.92290825837664,11,RB,1,{'RB'},0,imploringli,implor,impl,12.101495102733436,0.0002526048330864971
crunching,9,8.048167387573808e-06,16.92290825837664,9,VBG,2,"{'NN', 'VBG'}",0,crunch,crunch,crunch,12.101495102733436,0.000224971845184437
zis,9,8.048167387573808e-06,16.92290825837664,3,NN,4,"{'VBP', 'CD', 'NN', 'NNP'}",0,zi,zis,zis,7.999415360368439,0.0002913718864148631
